host,url,score,http_status,raisons,tech
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2018/produits/livret-rev3/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/presol,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/france-terre-d-asile,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/unicef,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/produits/livret-a-comme-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/produits/livret-solidaire-associations,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/ccfd-terre-solidaire,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/france-active,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/associations/atd-quart-monde,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/premiere-urgence-internationale,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
